Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status,Issue_Original,Response_Type
CONV-1510,"Коллеги, почта не открывается с ноутбука, последние письма пришли несколько часов назад (SMTP_450_Mailbox_unavailable).",Проверьте настройки электронной почты.,77 minutes,Account,Pending,Не удаётся подключиться к Wi-Fi,email
CONV-1511,"Здравствуйте, ноутбук не цепляется к сети только на моём ноутбуке, особенно когда начинаю созвоны. Из-за этого сложно выполнять задачи вовремя.",Перезагрузите маршрутизатор.,111 minutes,Software,Resolved after follow-up,Сбой при установке программного обеспечения,wifi
CONV-1512,"Система не принимает мой пароль, это продолжается уже несколько дней.",Сбросьте пароль по предоставленной ссылке.,65 minutes,Network,Pending,Забыл(а) пароль,password
CONV-1513,"Здравствуйте, принтер отображается, но не выводит ничего на бумагу, пишет ошибку по драйверу, особенно критично в рабочее время.",Переустановите драйверы принтера.,95 minutes,Hardware,Pending,Нет доступа к электронной почте,printer
CONV-1514,"Здравствуйте, забыл пароль от учётной записи, вчера входил нормально, сегодня уже нет (AUTH_401_Invalid_Credentials). Очень прошу помочь с этой проблемой.",Сбросьте пароль по предоставленной ссылке.,85 minutes,Network,Escalated,Низкая скорость работы системы,password
CONV-1515,"Добрый вечер, система стала очень медленной при одновременном открытии нескольких приложений, окна откликаются через несколько секунд.",Очистите кэш и удалите ненужные программы.,73 minutes,Hardware,Pending,Низкая скорость работы системы,performance
CONV-1516,"Доброго времени суток, ноутбук не цепляется к сети на рабочем месте, иногда соединение просто пропадает без причины, это продолжается уже несколько дней.",Перезагрузите маршрутизатор.,63 minutes,Software,Escalated,Не удаётся подключиться к Wi-Fi,wifi
CONV-1517,"Здравствуйте, принтер никак не реагирует на печать от моего компьютера, пробовала перезапускать, не помогает, из-за этого не успеваю сдавать задачи.",Переустановите драйверы принтера.,88 minutes,Performance,Resolved after follow-up,Сбой при установке программного обеспечения,printer
CONV-1518,"Добрый день, установка по зависает из-под учётки администратора (0x80070002 — File not found), особенно критично в рабочее время.",Следуйте инструкции по установке программного обеспечения.,107 minutes,Performance,Pending,Принтер не отвечает,install
CONV-1519,"Добрый вечер, почта не открывается с рабочего компьютера, срочно нужно отправить отчёт. Из-за этого сложно выполнять задачи вовремя.",Проверьте настройки электронной почты.,92 minutes,Performance,Resolved after follow-up,Низкая скорость работы системы,email
CONV-1520,"Доброго времени суток, система не принимает мой пароль, восстановление по почте не приходит!",Сбросьте пароль по предоставленной ссылке.,86 minutes,Hardware,Resolved after follow-up,Низкая скорость работы системы,password
CONV-1521,"Доброго времени суток, не приходят новые письма через веб-интерфейс, пишет, что нет подключения к серверу!!!",Проверьте настройки электронной почты.,66 minutes,Account,Resolved,Сбой при установке программного обеспечения,email
CONV-1522,"Коллеги, документы застревают в очереди печати от моего компьютера, пробовала перезапускать, не помогает.",Переустановите драйверы принтера.,106 minutes,Account,Resolved after follow-up,Нет доступа к электронной почте,printer
CONV-1523,"Установщик даже не запускается на рабочем компьютере, пробовала переустанавливать несколько раз.",Следуйте инструкции по установке программного обеспечения.,49 minutes,Network,Resolved after follow-up,Низкая скорость работы системы,install
CONV-1524,"Добрый день, компьютер ведёт себя странно во время работы. Очень прошу помочь с этой проблемой.",Запустите утилиту диагностики системы.,116 minutes,Performance,Escalated,Низкая скорость работы системы,diagnostic
CONV-1525,"Добрый день, сеть ивдна, но к ней не подключается на нескольких устройствах сразу (ERR_INTERNET_DISCONNECTED), из-за этого не успеваю сдавать задачи.",Перезагрузите маршрутизатор.,105 minutes,Network,Resolved after follow-up,Нет доступа к электронной почте,wifi
CONV-1526,"Доброго времени суток, ноутбук сильно лагает даже при открытии простых программ, работать в таком режиме невозможно.",Очистите кэш и удалите ненужные программы.,59 minutes,Performance,Resolved after follow-up,Сбой при установке программного обеспечения,performance
CONV-1527,"Доброго времени суток, принтер никак не реагирует на печать от моего компьютера (0x00000006 — Invalid Handle). Из-за этого сложно выполнять задачи вовремя.",Переустановите драйверы принтера.,99 minutes,Network,Resolved,Не удаётся подключиться к Wi-Fi,printer
CONV-1528,"Интернет отваливается постоянно дома, иногда соединение просто пропадает без причины.",Перезагрузите маршрутизатор.,95 minutes,Account,Resolved after follow-up,Сбой при установке программного обеспечения,wifi
CONV-1529,"Добрый вечер, кажется, неправильно помню пароль, несколько раз блокировало вход после попыток (AUTH_Password_Mismatch).",Сбросьте пароль по предоставленной ссылке.,56 minutes,Performance,Pending,Ошибка «синий экран»,password
CONV-1530,"Здравствуйте, компьютер ведёт сеяб странно при запуске программ, иногда выскакивает сообщение с ошибкой, раньше такого не было.",Запустите утилиту диагностики системы.,89 minutes,Network,Resolved after follow-up,Не удаётся подключиться к Wi-Fi,diagnostic
CONV-1531,"Здравствуйте, установщик даже не запускается на ноутбуке, пробовала переустанавливать несколько раз, раньше всё работало нормально.",Следуйте инструкции по установке программного обеспечения.,61 minutes,Account,Pending,Сбой при установке программного обеспечения,install
CONV-1532,"Система не принимает мой пароль, несколько раз блокировало вход после попыток!",Сбросьте пароль по предоставленной ссылке.,72 minutes,Network,Escalated,Нет доступа к электронной почте,password
CONV-1533,"Добрый день, установка по зависает на раобчем компьютере, очень мешает работе.",Следуйте инструкции по установке программного обеспечения.,117 minutes,Performance,Resolved,Ошибка «синий экран»,install
CONV-1534,"Дборый день, не приходят новые письма, срочно нужно отправить отчёт.",Проверьте настройки электронной почты.,37 minutes,Performance,Resolved after follow-up,Низкая скорость работы системы,email
CONV-1535,"Здравствуйте, установщик даже не запускается после последнего обновления системы, пробовала переустанавливать несколько раз (0xC0000005 — Access violation).",Следуйте инструкции по установке программного обеспечения.,114 minutes,Hardware,Resolved after follow-up,Ошибка «синий экран»,install
CONV-1536,"Добрый день, система стала очень медленной при работе с браузером, окна откликаются через несколько секунд.",Очистите кэш и удалите ненужные программы.,73 minutes,Network,Escalated,Нет доступа к электронной почте,performance
CONV-1537,"Система стала очень медленной при одновременном открытии нескольких приложений, окна откликаются через несколько секунд, такое происходит почти каждое утро.",Очистите кэш и удалите ненужные программы.,43 minutes,Hardware,Pending,Не удаётся подключиться к Wi-Fi,performance
CONV-1538,"Добрый день, не могу отправить письма с рабочего компьютера.",Проверьте настройки электронной почты.,110 minutes,Software,Pending,Низкая скорость работы системы,email
CONV-1539,"Доброго времени суток, ноутбук не цепляется к сети только на моём ноутбуке, иногда соединение просто пропадает без причины, такое происходит почти каждое утро.",Перезагрузите маршрутизатор.,47 minutes,Hardware,Escalated,Забыл(а) пароль,wifi
CONV-1540,"Коллеги, вайфай вообще не коннектится на рабочем месте, особенно когда начинаю созвоны, из-за этого не успеваю сдавать задачи.",Перезагрузите маршрутизатор.,19 minutes,Performance,Pending,Ошибка «синий экран»,wifi
CONV-1541,"Добрый вечер, пару раз появлялся синий экран, очень боюсь потерять данные (0x0000007E), это продолжается второй день.",Запустите утилиту диагностики системы.,12 minutes,Account,Resolved,Не удаётся подключиться к Wi-Fi,diagnostic
CONV-1542,"Интернет отваливается постоянно дома, пишет, что нет доступа к интернету.",Перезагрузите маршрутизатор.,24 minutes,Software,Resolved after follow-up,Сбой при установке программного обеспечения,wifi
CONV-1543,"Здравствуйте, проблема с электронной почтой через веб-интерфейс, пишет, что нет подключения к серверу.",Проверьте настройки электронной почты.,43 minutes,Hardware,Pending,Нет доступа к электронной почте,email
CONV-1544,"Добрый вечер, забыл пароль от учётной записи, после смены пароля вообще не пускает.",Сбросьте пароль по предоставленной ссылке.,111 minutes,Network,Pending,Принтер не отвечает,password
CONV-1545,"Добрый вечер, компьютер ведёт себя стрнано при запуске программ.",Запустите утилиту диагностики системы.,31 minutes,Network,Resolved after follow-up,Низкая скорость работы системы,diagnostic
CONV-1546,"Система стала очень медленной после последнего обновления, работать в таком режиме невозможно. Ситуация повторяется уже не первый раз.",Очистите кэш и удалите ненужные программы.,91 minutes,Software,Resolved after follow-up,Сбой при установке программного обеспечения,performance
CONV-1547,"Здравствуйте, всё открывается с большой задержкой, окна откликаются через несколько секунд. Это особенно мешает в рабочие часы.",Очистите кэш и удалите ненужные программы.,113 minutes,Software,Resolved,Ошибка «синий экран»,performance
CONV-1548,"Доброго времени суток, проблема с электронной почтой с рабочего компьютера. Очень прошу помочь с этой проблемой.",Проверьте настройки электронной почты.,68 minutes,Account,Pending,Принтер не отвечает,email
CONV-1549,"Доброго дня, проблема с электронной почтой через outlook, срочно нужно отправить отчёт. Из-за этого постоянно срываются сроки.",Проверьте настройки электронной почты.,106 minutes,Account,Pending,Забыл(а) пароль,email
CONV-1550,"Добрый день, сеть видна, но к ней не подключается только на моём ноутбуке, особенно когда начинаю созвоны, из-за этого не успеваю сдавать задачи.",Перезагрузите маршрутизатор.,65 minutes,Account,Resolved,Низкая скорость работы системы,wifi
CONV-1551,"Добрый вечер, кажется, неправильно помню пароль, после смены пароля вообще не пускает!",Сбросьте пароль по предоставленной ссылке.,21 minutes,Hardware,Resolved,Не удаётся подключиться к Wi-Fi,password
CONV-1552,"Коллеги, принтер отображается, но не выводит ничего на бумагу по сети, пробовала перезапускать, не помогает (0x00000709 — Printer cannot be selected), это продолжается второй день.",Переустановите драйверы принтера.,109 minutes,Account,Resolved,Принтер не отвечает,printer
CONV-1553,"Здравствуйте, комьпютер не видит принтер от моего компьютера (0x00000006 — Invalid Handle).",Переустановите драйверы принтера.,118 minutes,Account,Resolved,Ошибка «синий экран»,printer
CONV-1554,"Доброго времени суток, пару раз появлялся синий экран при запуске нескольких приложений, пару раз был синий экран.",Запустите утилиту диагностики системы.,16 minutes,Hardware,Resolved,Нет доступа к электронной почте,diagnostic
CONV-1555,"Здравствуйте, не могу войти в аккаунт, несколько раз блокировало вход после попыток. Из-за этого сложно выполнять задачи вовремя.",Сбросьте пароль по предоставленной ссылке.,69 minutes,Software,Resolved,Принтер не отвечает,password
CONV-1556,"Здравствуйте, забыл пароль от учётной записи, после смены пароля вообще не пускает, это продолжается второй день.",Сбросьте пароль по предоставленной ссылке.,40 minutes,Network,Escalated,Сбой при установке программного обеспечения,password
CONV-1557,"Коллеги, не могу отправить письма.",Проверьте настройки электронной почты.,36 minutes,Performance,Resolved,Не удаётся подключиться к Wi-Fi,email
CONV-1558,"Доброго времени суток, забыл пароль от учётной записи, вчера входил нормально, сегодня уже нет.",Сбросьте пароль по предоставленной ссылке.,71 minutes,Software,Escalated,Не удаётся подключиться к Wi-Fi,password
CONV-1559,"Доброго времени суток, почта не открывается с рабочего компьютера. А работать-то надо!",Проверьте настройки электронной почты.,38 minutes,Network,Escalated,Ошибка «синий экран»,email
CONV-1560,"Система не принимает мой пароль (AUTH_Password_Mismatch), особенно критично в рабочее время.",Сбросьте пароль по предоставленной ссылке.,94 minutes,Performance,Resolved,Сбой при установке программного обеспечения,password
CONV-1561,"Почта не открывается через веб-интерфейс, последние письма пришли несколько часов назад, из-за этого не успеваю сдавать задачи.",Проверьте настройки электронной почты.,82 minutes,Software,Resolved,Низкая скорость работы системы,email
CONV-1562,"Добрый вечер, система стала очень медленной после последнего обновления, курсор иногда зависает, очень мешает работе.",Очистите кэш и удалите ненужные программы.,119 minutes,Hardware,Resolved after follow-up,Нет доступа к электронной почте,performance
CONV-1563,"Добрый вечер, пару раз появлялся синий экран. Это особенно мешает в рабочие часы.",Запустите утилиту диагностики системы.,44 minutes,Performance,Escalated,Сбой при установке программного обеспечения,diagnostic
CONV-1564,"Добрый вечер, принтер отображается, но не выводит инчего на бумагу по сети, документ уходит в очередь, но ничего не происходит. Это особенно мешает в рабочие часы.",Переустановите драйверы принтера.,39 minutes,Hardware,Pending,Низкая скорость работы системы,printer
CONV-1565,"Доброго дня, компьютер не видит принтер с разных приложений, пишет ошибку по драйверу (0x00000709 — Printer cannot be selected), срочно нужно решить.",Переустановите драйверы принтера.,31 minutes,Software,Resolved after follow-up,Нет доступа к электронной почте,printer
CONV-1566,"Здравствуйте, wi-fi не подключается, пишет, что неверный пароль, хотя он правильный, особенно критично в рабочее время.",Перезагрузите маршрутизатор.,88 minutes,Software,Escalated,Ошибка «синий экран»,wifi
CONV-1567,"Добрый вечер, кажется, неправильно помню пароль (AUTH_401_Invalid_Credentials), такое происходит почти каждое утро.",Сбросьте пароль по предоставленной ссылке.,115 minutes,Software,Pending,Ошибка «синий экран»,password
CONV-1568,"Здравствуйте, ноутбук сильно лагает даже при открытии простых программ, раньше всё работало намного быстрее.",Очистите кэш и удалите ненужные программы.,115 minutes,Hardware,Resolved after follow-up,Принтер не отвечает,performance
CONV-1569,"Добрый вечер, пару раз появлялся синий экран, после перезагрузки некоторое время всё нормально, потом снова, такое происходит пчоти каждое утро.",Запустите утилиту диагностики системы.,51 minutes,Network,Resolved after follow-up,Нет доступа к электронной почте,diagnostic
CONV-1570,"Добрый вечер, не приходят новые письма с рабочего компьютера, это продолжатеся второй день.",Проверьте настройки электронной почты.,50 minutes,Hardware,Pending,Нет доступа к электронной почте,email
CONV-1571,"Добрый вечер, компьютер жутко тормозит даже при открытии простых программ, работать в таком режиме невозможно.",Очистите кэш и удалите ненужные программы.,93 minutes,Performance,Resolved,Не удаётся подключиться к Wi-Fi,performance
CONV-1572,"Доброго времени стуок, не могу войти в аккаунт, вчера входил нормально, сегодня уже нет, уже не знаю, что делать.",Сбросьте пароль по предоставленной ссылке.,40 minutes,Network,Resolved after follow-up,Принтер не отвечает,password
CONV-1573,"Добрый день, не могу отправить письма через outlook, пишет, что нет подключения к серверу.",Проверьте настройки электронной почты.,52 minutes,Hardware,Pending,Низкая скорость работы системы,email
CONV-1574,"Почта не открывается с ноутбука, срочно нужно отправить отчёт, такое происходит почти каждео утро.",Проверьте настройки электронной почты.,82 minutes,Software,Resolved after follow-up,Не удаётся подключиться к Wi-Fi,email
CONV-1575,"Компьютер жутко тормозит при одновременном открытии нескольких прлиожений, курсор иногда зависает. Ситуация повторяется уже не первый раз.",Очистите кэш и удалите ненужные программы.,117 minutes,Software,Resolved after follow-up,Забыл(а) пароль,performance
CONV-1576,"Доброго времени суток, пару раз появлялся синий экран во время работы, пару раз был синий экран.",Запустите утилиту диагностики системы.,44 minutes,Network,Pending,Принтер не отвечает,diagnostic
CONV-1577,"Добрый день, ноутбук сильно лагает после последнего обновления. Это особенно мешает в рабочие часы.",Очистите кэш и удалите ненужные программы.,63 minutes,Software,Resolved after follow-up,Ошибка «синий экран»,performance
CONV-1578,"Доброго времени суток, система не принимает мой пароль, несколько раз блокировало вход после попыток (AUTH_Token_Expired), это продолжается второй день.",Сбросьте пароль по предоставленной ссылке.,8 minutes,Network,Resolved,Сбой при установке программного обеспечения,password
CONV-1579,"Доброго времени суток, даже простые программы запускаются очень долго даже при открытии простых программ, окна откликаются через несколько секунд.",Очистите кэш и удалите ненужные программы.,74 minutes,Network,Escalated,Не удаётся подключиться к Wi-Fi,performance
CONV-1580,"Добрый вечер, кажется, неправильно помню пароль, восстановление по почте не приходит (AUTH_403_Account_Locked).",Сбросьте пароль по предоставленной ссылке.,68 minutes,Performance,Resolved after follow-up,Принтер не отвечает,password
CONV-1581,"Здравствуйте, интернет отваливается постоянно на рабочем месте, пишет, что нет доступа к интернету (ERR_NETWORK_CHANGED), срочно нужно решить.",Перезагрузите маршрутизатор.,5 minutes,Hardware,Resolved after follow-up,Сбой при установке программного обеспечения,wifi
CONV-1582,"Здравствуйте, появляются какие-то ошибки и сбои во время работы, иногда выскакивает сообщение с ошибкой (0xC000021A). Очень прошу помочь с этой проблемой.",Запустите утилиту диагностики системы.,37 minutes,Network,Pending,Не удаётся подключиться к Wi-Fi,diagnostic
CONV-1583,"Добрый день, программа после установки не запускается на ноутбуке, срочно нужно решить.",Следуйте инструкции по установке программного обеспечения.,26 minutes,Hardware,Pending,Ошибка «синий экран»,install
CONV-1584,"Не могу отправить письма через outlook, последние письма пришли несколько часов назад, очень мешает работе.",Проверьте настройки электронной почты.,47 minutes,Account,Resolved after follow-up,Нет доступа к электронной почте,email
CONV-1585,"Здравствуйте, вайфай вообще не коннектится на нескольких устройствах сразу, раньше всё работало нормально.",Перезагрузите маршрутизатор.,91 minutes,Account,Escalated,Низкая скорость работы системы,wifi
CONV-1586,"Доброго дня, не могу отправить письма с ноутбука, срочно нужно отправить отчёт (SMTP_550_User_not_found), такое происходит почти каждое утро.",Проверьте настройки электронной почты.,85 minutes,Hardware,Pending,Не удаётся подключиться к Wi-Fi,email
CONV-1587,"Коллеги, документы застревают в очереди печати в офисе, пробовала перезапускать, не помогает (0x00000006 — Invalid Handle).",Переустановите драйверы принтера.,69 minutes,Performance,Escalated,Низкая скорость работы системы,printer
CONV-1588,"Добрый вечер, появляются какие-то ошибки и сбои, иногда выскакивает сообщение с ошибкой (0x0000003B), такое происходит почти каждое утро.",Запустите утилиту диагностики системы.,8 minutes,Software,Escalated,Принтер не отвечает,diagnostic
CONV-1589,"Привет, сеть видна, но к ней не подключается только на моём ноутбуке, раньше всё работало нормально (ERR_CONNECTION_TIMED_OUT), раньше всё работало нормально.",Перезагрузите маршрутизатор.,115 minutes,Account,Resolved after follow-up,Нет доступа к электронной почте,wifi
CONV-1590,"Здравствуйте, компьютер не видит принтер в офисе, это продолжается второй день.",Переустановите драйверы принтера.,14 minutes,Network,Resolved,Нет доступа к электронной почте,printer
CONV-1591,"Доброго дня, почта не открывается через веб-интерфейс (SMTP_421_Service_not_available).",Проверьте настройки электронной почты.,102 minutes,Network,Escalated,Не удаётся подключиться к Wi-Fi,email
CONV-1592,"Доброго дня, почтовый клиент постоянно выдаёт ошибку, пишет, что нет подключения к серверу, раньше такого не было.",Проверьте настройки электронной почты.,7 minutes,Account,Pending,Принтер не отвечает,email
CONV-1593,"Здравствуйте, иногда всё зависает и помогает только перезагрузка при запуске нескольких приложений, такое происходит почти каждое утро.",Запустите утилиту диагностики системы.,28 minutes,Network,Escalated,Низкая скорость работы системы,diagnostic
CONV-1594,"Здравствуйте, иногда всё зависает и помогает только перезагрузка во время работы, пару раз был синий экран (0x0000007E). Из-за этого страдает вся команда.",Запустите утилиту диагностики системы.,107 minutes,Performance,Resolved after follow-up,Сбой при установке программного обеспечения,diagnostic
CONV-1595,"Доброго времени суток, ноутбук сильно лагает при одновременном открытии нескольких приложений, окна откликаются через несколько секунд, это продолжается второй день.",Очистите кэш и удалите ненужные программы.,30 minutes,Hardware,Resolved after follow-up,Сбой при установке программного обеспечения,performance
CONV-1596,"Добрый вечер, система периодически зависает и вылетает при запуске программ, посел перезагрузки некоторое время всё нормально, потом снова, раньше всё работало нормально.",Запустите утилиту диагностики системы.,42 minutes,Account,Escalated,Не удаётся подключиться к Wi-Fi,diagnostic
CONV-1597,"Проблема с электронной почтой через веб-интерфейс, срочно нужно отправить отчёт (SMTP_450_Mailbox_unavailable), это продолжается уже несколько дней.",Проверьте настройки электронной почты.,29 minutes,Account,Escalated,Низкая скорость работы системы,email
CONV-1598,"Доброго времени суток, забыл пароль от учётной записи, восстановление по почте не приходит.",Сбросьте пароль по предоставленной ссылке.,117 minutes,Hardware,Resolved,Забыл(а) пароль,password
CONV-1599,"Забыл пароль от учётной записи, вчера входил нормально, сегодня уже нет. А работать-то надо!",Сбросьте пароль по предоставленной ссылке.,14 minutes,Hardware,Escalated,Ошибка «синий экран»,password
CONV-1600,"Добрый вечер, принтер отображается, но не выводит ничего на бумагу от моего компьютера, пишет ошибку по драйверу, раньше такого не было.",Переустановите драйверы принтера.,56 minutes,Network,Resolved after follow-up,Низкая скорость работы системы,printer
CONV-1601,"Доброе утро, сеть видна, но к ней не подключается на нескольких устройствах сразу, раньше всё работало нормально. Это начало происходить совсем недавно.",Перезагрузите маршрутизатор.,15 minutes,Hardware,Escalated,Ошибка «синий экран»,wifi
CONV-1602,"Система стала очень медленной даже при открытии простых программ, раньше такого не было.",Очистите кэш и удалите ненужные программы.,103 minutes,Network,Resolved,Низкая скорость работы системы,performance
CONV-1603,"Добрый вечер, кажется, неправильно помню пароль, вчера входил нормально, сегодня уже нет. Это начало происходить совсем недавно.",Сбросьте пароль по предоставленной ссылке.,5 minutes,Performance,Resolved,Нет доступа к электронной почте,password
CONV-1604,"Доброго времени суток, забыл пароль от учётной записи, пишет, что пароль неверный (AUTH_401_Invalid_Credentials), раньше такого не было.",Сбросьте пароль по предоставленной ссылке.,93 minutes,Hardware,Escalated,Ошибка «синий экран»,password
CONV-1605,"Добрый день, компьютер не видит принтер в офисе, пробовала перезапускать, не помогает, это продолжается второй день.",Переустановите драйверы принтера.,99 minutes,Hardware,Resolved after follow-up,Ошибка «синий экран»,printer
CONV-1606,"Добрый вечер, даже простые программы запускаются очень долго после последнего обновления, работать в таком режиме невозможно. А работать-то надо!",Очистите кэш и удалите ненужные программы.,19 minutes,Account,Resolved after follow-up,Принтер не отвечает,performance
CONV-1607,"Доброе утро, wi-fi не подключается только на моём ноутбуке (ERR_NAME_NOT_RESOLVED), это продолжается уже несколько дней.",Перезагрузите маршрутизатор.,7 minutes,Network,Pending,Ошибка «синий экран»,wifi
CONV-1608,"Добрый день, не могу войти в аккаунт, вчера входил нормально, сегодня уже нет (AUTH_Password_Mismatch). Очень прошу помочь с этой проблемой.",Сбросьте пароль по предоставленной ссылке.,56 minutes,Software,Pending,Не удаётся подключиться к Wi-Fi,password
CONV-1609,"Здравствуйте, даже простые программы запускаются очень долго даже при открытии простых программ, окна откликаются через несколько секунд, это продолжается уже несколько дней.",Очистите кэш и удалите ненужные программы.,20 minutes,Hardware,Escalated,Принтер не отвечает,performance
CONV-1610,"Добрый день, кажется, неправильно помню пароль, очень мешает работе.",Сбросьте пароль по предоставленной ссылке.,91 minutes,Account,Pending,Не удаётся подключиться к Wi-Fi,password
CONV-1611,"Доброго времени суток, система не принимает мой пароль, пишет, что пароль неверный, раньше такого не было.",Сбросьте пароль по предоставленной ссылке.,102 minutes,Account,Resolved,Ошибка «синий экран»,password
CONV-1612,"Добрый вечер, даже простые программы запускаются очень долго при одновременном открытии нескольких приложений, курсор иногда зависает, очень мешает работе.",Очистите кэш и удалите ненужные программы.,66 minutes,Hardware,Pending,Забыл(а) пароль,performance
CONV-1613,"Добрый день, нотубук сильно лагает даже при открытии простых программ, курсор иногда зависает. Это начало происходить совсем недавно.",Очистите кэш и удалите ненужные программы.,46 minutes,Account,Escalated,Нет доступа к электронной почте,performance
CONV-1614,"Доброго дня, не приходят новые письма с рабочего компьютера, последние письма пришли несколько часов назад (SMTP_421_Service_not_available).",Проверьте настройки электронной почты.,26 minutes,Account,Resolved after follow-up,Забыл(а) пароль,email
CONV-1615,"Добрый день, почтовый клиент постоянно выдаёт ошибку, последние письма пришли несколько часов назад. Это начало происходить совсем недавно.",Проверьте настройки электронной почты.,30 minutes,Software,Resolved,Не удаётся подключиться к Wi-Fi,email
CONV-1616,"Добрый день, опчтовый клиент постоянно выдаёт ошибку через веб-интерфейс, пишет, что нет подключения к серверу. Из-за этого постоянно срываются сроки.",Проверьте настройки электронной почты.,35 minutes,Network,Escalated,Сбой при установке программного обеспечения,email
CONV-1617,"Здравствуйте, почта не открывается через outlook, срочно нужно отправить отчёт.",Проверьте настройки электронной почты.,99 minutes,Performance,Pending,Нет доступа к электронной почте,email
CONV-1618,"Добрый день, система не принимает мой пароль, вчера входил нормально, сегодня уже нет.",Сбросьте пароль по предоставленной ссылке.,74 minutes,Network,Escalated,Нет доступа к электронной почте,password
CONV-1619,"Добрый день, установщик даже не запускается после последнего обновления системы, пишет, что недостаточно прав. Очень прошу помочь с этой проблемой.",Следуйте инструкции по установке программного обеспечения.,51 minutes,Hardware,Escalated,Низкая скорость работы системы,install
CONV-1620,"Добрый день, кажется, неправильно помню пароль, вчера входил нормально, сегодня уже нет.",Сбросьте пароль по предоставленной ссылке.,86 minutes,Performance,Resolved,Нет доступа к электронной почте,password
CONV-1621,"Здравствуйте, кажется, неправильно помню пароль, восстановление по почте не приходит.",Сбросьте пароль по предоставленной ссылке.,79 minutes,Account,Pending,Принтер не отвечает,password
CONV-1622,"Добрый вечер, компьютер жутко тормозит при работе с браузером, курсор иногда зависает. Ситуация повторяется уже не первый раз.",Очистите кэш и удалите ненужные программы.,83 minutes,Performance,Escalated,Не удаётся подключиться к Wi-Fi,performance
CONV-1623,"Доброго дня, wi-fi не подключается на рабочем месте, раньше всё работало нормально (ERR_NETWORK_CHANGED), это продолжается второй день.",Перезагрузите маршрутизатор.,95 minutes,Software,Escalated,Нет доступа к электронной почте,wifi
